taxratearea_city,rollyear,usecodedescchar1,effectiveyearbuilt,roll_totalvalue,center_lat,center_lon
INGLEWOOD,2006,Residential,1902,274014,33.95116142,-118.3514946
INGLEWOOD,2006,Residential,1906,377400,33.96006121,-118.3459694
INGLEWOOD,2006,Residential,1906,418629,33.94997807,-118.3637662
INGLEWOOD,2006,Residential,1907,69750,33.95460452,-118.350996
INGLEWOOD,2006,Residential,1907,142937,33.96316384,-118.3579308
INGLEWOOD,2006,Residential,1907,154077,33.9641322,-118.3577694
INGLEWOOD,2006,Residential,1908,39627,33.95627842,-118.3680659
INGLEWOOD,2006,Residential,1908,42177,33.96463502,-118.3645053
INGLEWOOD,2006,Residential,1908,105813,33.96854482,-118.3541153
INGLEWOOD,2006,Residential,1908,133188,33.95698315,-118.3597507
INGLEWOOD,2006,Residential,1908,221606,33.9625252,-118.363562
INGLEWOOD,2006,Residential,1908,224739,33.96256134,-118.3586761
INGLEWOOD,2006,Residential,1909,53032,33.97374312,-118.3623892
INGLEWOOD,2006,Residential,1909,390149,33.96508933,-118.3634366
INGLEWOOD,2006,Residential,1909,460000,33.95889282,-118.3469476
INGLEWOOD,2006,Residential,1910,44765,33.95643269,-118.3479917
INGLEWOOD,2006,Residential,1910,64215,33.95539505,-118.3532958
INGLEWOOD,2006,Residential,1910,94221,33.96403371,-118.3598551
INGLEWOOD,2006,Residential,1910,186526,33.95344944,-118.3582752
INGLEWOOD,2006,Residential,1910,215124,33.94853609,-118.354614
INGLEWOOD,2006,Residential,1910,270565,33.94884586,-118.3594179
INGLEWOOD,2006,Residential,1910,277983,33.96325209,-118.3665493
INGLEWOOD,2006,Residential,1910,448800,33.96060243,-118.3679634
INGLEWOOD,2006,Residential,1911,72605,33.95869448,-118.3539348
INGLEWOOD,2006,Residential,1911,82128,33.96955949,-118.355232
INGLEWOOD,2006,Residential,1911,120597,33.95869867,-118.3562832
INGLEWOOD,2006,Residential,1911,142849,33.95509422,-118.3491715
INGLEWOOD,2006,Residential,1911,142849,33.95228348,-118.355256
INGLEWOOD,2006,Residential,1911,146584,33.95582419,-118.354037
INGLEWOOD,2006,Residential,1911,148969,33.95869422,-118.3537774
INGLEWOOD,2006,Residential,1911,165325,33.95445448,-118.3538671
INGLEWOOD,2006,Residential,1911,209284,33.95906998,-118.3679759
INGLEWOOD,2006,Residential,1911,244798,33.96232995,-118.3577334
INGLEWOOD,2006,Residential,1911,402657,33.95588374,-118.3479206
INGLEWOOD,2006,Residential,1911,402900,33.97464133,-118.3647128
INGLEWOOD,2006,Residential,1912,46876,33.95859591,-118.3589577
INGLEWOOD,2006,Residential,1912,73513,33.9570077,-118.3485571
INGLEWOOD,2006,Residential,1912,112467,33.96313812,-118.3602542
INGLEWOOD,2006,Residential,1912,133714,33.95880819,-118.3456355
INGLEWOOD,2006,Residential,1912,153778,33.93358545,-118.342534
INGLEWOOD,2006,Residential,1912,154865,33.95295527,-118.3676501
INGLEWOOD,2006,Residential,1912,197970,33.95865719,-118.3545681
INGLEWOOD,2006,Residential,1912,200754,33.95744336,-118.3465643
INGLEWOOD,2006,Residential,1912,204985,33.9750192,-118.3670924
INGLEWOOD,2006,Residential,1912,218619,33.95299647,-118.3481801
INGLEWOOD,2006,Residential,1912,237064,33.94109667,-118.3362397
INGLEWOOD,2006,Residential,1912,350000,33.94297311,-118.349955
INGLEWOOD,2006,Residential,1913,108684,33.95952196,-118.3604221
INGLEWOOD,2006,Residential,1913,108816,33.94314714,-118.3369606
INGLEWOOD,2006,Residential,1913,129048,33.96311305,-118.3677112
INGLEWOOD,2006,Residential,1913,132709,33.93703546,-118.3338197
INGLEWOOD,2006,Residential,1913,155649,33.95853862,-118.365731
INGLEWOOD,2006,Residential,1913,172960,33.94634094,-118.3483167
INGLEWOOD,2006,Residential,1913,357000,33.93757187,-118.3396331
INGLEWOOD,2006,Residential,1913,374544,33.95862554,-118.3569465
INGLEWOOD,2006,Residential,1914,63370,33.95710108,-118.3482668
INGLEWOOD,2006,Residential,1914,91989,33.97787486,-118.3370448
INGLEWOOD,2006,Residential,1914,125700,33.95384078,-118.3552993
INGLEWOOD,2006,Residential,1914,153202,33.96061362,-118.3632632
INGLEWOOD,2006,Residential,1914,154227,33.95601762,-118.3644402
INGLEWOOD,2006,Residential,1914,199544,33.94297538,-118.3515317
INGLEWOOD,2006,Residential,1914,445000,33.95506874,-118.3496827
INGLEWOOD,2006,Residential,1915,62125,33.94665715,-118.3634818
INGLEWOOD,2006,Residential,1915,132312,33.95482168,-118.3546133
INGLEWOOD,2006,Residential,1915,134395,33.95960041,-118.365876
INGLEWOOD,2006,Residential,1915,142523,33.9503988,-118.3598531
INGLEWOOD,2006,Residential,1915,157986,33.94339292,-118.3460096
INGLEWOOD,2006,Residential,1915,163075,33.94152917,-118.3406635
INGLEWOOD,2006,Residential,1915,173218,33.95643195,-118.3481566
INGLEWOOD,2006,Residential,1915,188069,33.9706536,-118.3523393
INGLEWOOD,2006,Residential,1915,189279,33.97185205,-118.3544197
INGLEWOOD,2006,Residential,1916,38137,33.9380034,-118.331748
INGLEWOOD,2006,Residential,1916,64008,33.9549973,-118.3586804
INGLEWOOD,2006,Residential,1916,97648,33.95960067,-118.3656962
INGLEWOOD,2006,Residential,1916,145545,33.94101197,-118.3394264
INGLEWOOD,2006,Residential,1916,180278,33.94687784,-118.3493373
INGLEWOOD,2006,Commercial,1916,198473,33.94195705,-118.3522189
INGLEWOOD,2006,Residential,1916,402900,33.96129111,-118.3657597
INGLEWOOD,2006,Residential,1917,72827,33.95958141,-118.3662989
INGLEWOOD,2006,Residential,1917,106061,33.93647864,-118.3386021
